Hypotesis; Prior; Likelihood; Bayes Numerator; Posterior
30.0;0.023674828704194406;0.0;0.0;0.0;
70.20000010000001;0.07096752784268819;0.0;0.0;0.0;
110.40000020000001;0.15933456891504896;0.007999028845935983;0.0012745218129062515;0.008312617329921492;
150.6000003;0.2087248182535901;0.10272383406775554;0.02144101359610422;0.1398414208256224;
190.80000040000002;0.2243165255257248;0.25103724355014034;0.05631180225072265;0.36727379518211556;
231.00000050000003;0.17223536940162115;0.3369138438770147;0.058028480356677736;0.37847022040525036;
271.2000006;0.07078179435390006;0.15397466316296834;0.010898602943712256;0.07108227947488235;
311.4000007;0.04728526979894226;0.09960563327859406;0.004709879243072822;0.030718520013815153;
351.60000080000003;0.016577332985970434;0.03514197549602817;0.0005825602295824725;0.0037995428647140035;
391.80000090000004;0.006101964218319563;0.012603777721562862;7.690780067262984e-05;0.0005016039036787166;
